Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Streams,Playlist_count,Playlist_reach,Popularity,Explicit Track
Felina,Felina,WIU,Unknown,"2,331",29.6,227079649,35385,8942936,63.0,0
Meet you at the Graveyard,"Clean Sheets, dirty walls",Cleffy,2023-06-10 00:00:00,"2,327",29.6,95871805,21000,7441709,14.0,1
Sexy to Someone,Sexy to Someone,Clairo,Unknown,"2,329",29.6,15290073,2626,37148745,74.0,0
Se Le Ve,"Se Le Ve (feat. Justin Quiles, Arcangel, De La Ghetto, Lenny Tav  rez & D  melo Flow) ",D  melo ,2021-12-08 00:00:00,"2,332",29.6,240138585,43572,11285970,56.0,1
Cora    o,Manual de Como Amar Errado,WIU,Unknown,"2,333",29.6,239669425,30426,7338920,63.0,1
FEARLESS,FEARLESS,LE SSERAFIM,2022-02-05 00:00:00,"2,328",29.6,312942305,20231,4756698,62.0,0
Let It Go,Let It Go,James Bay,2014-01-01 00:00:00,"2,338",29.5,1197774081,128593,56315096,65.0,0
Where It Ends,Where It Ends,Bailey Zimmerman,Unknown,"2,343",29.5,178441881,28857,7439902,75.0,0
drivers license,drivers license,Olivia Rodrigo,2021-08-01 00:00:00,"2,341",29.5,2184754018,9903,2638527,57.0,0
Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),Pros Menorzin (feat. DJ Biel do Furduncinho),L7NNON,2022-08-04 00:00:00,"2,340",29.5,86262202,17907,7303868,53.0,0
Carry You Home,Carry You Home,Alex Warren,Unknown,"2,339",29.5,9428361,1095,21925889,71.0,0
City Boys,Workout Rap 2024,Burna Boy,Unknown,"2,342",29.5,152289860,58113,19505579,69.0,1
Wellerman - Sea Shanty,Wellerman (Sea Shanty),Nathan Evans,Unknown,"2,336",29.5,405754991,103694,5805294,66.0,0
Every Summertime,Every Summertime,NIKI,2021-10-08 00:00:00,"2,346",29.5,383171089,60923,13164145,70.0,0
MANDA BALA,MANDA BALA,Ariis,2023-08-12 00:00:00,"2,344",29.5,63016744,8387,6543410,0.0,0
Walk It Talk It,Culture II,Migos,Unknown,"2,337",29.5,778459270,150813,29317904,67.0,1
TQMQA,TQMQA - Single,Eladio Carrion,Unknown,"2,335",29.5,42043071,9916,8275134,0.0,0
Face Off,Face Off,Tech N9ne,2021-07-10 00:00:00,"2,347",29.5,194908788,58039,6855506,59.0,1
Otra vez (feat. J Balvin),Motivan2,Zion & Lennox,Unknown,"2,345",29.5,912446776,48788,18231793,67.0,0
BOOKER T,EL   LTIMO TOUR DEL M,Bad Bunny,Unknown,"2,351",29.4,403041493,62435,9324189,66.0,1
Girls Never Die,<ASSEMBLE24>,tripleS,2024-08-05 00:00:00,"2,352",29.4,8797665,769,17349465,67.0,0
"24/7, 365","24/7, 365",elijah woods,Unknown,"2,359",29.4,91124161,12758,7968409,71.0,0
POCPOC,POCPOC,PEDRO SAMPAIO,Unknown,"2,360",29.4,137276005,9079,26226576,72.0,0
Je M'appelle,Je M'appelle,Benzz,Unknown,"2,358",29.4,231745345,83611,6994071,65.0,1
Soap,Soap,Melanie Martinez,2015-10-07 00:00:00,"2,349",29.4,349538935,48604,10908000,67.0,0
Bam Yang Gang,Bam Yang Gang,BIBI,Unknown,"2,357",29.4,33558829,3403,11994440,0.0,0
Never Forget You,Never Forget You,Zara Larsson,2015-10-09 00:00:00,"2,348",29.4,972089598,98962,23627265,66.0,0
Tyler Herro,Tyler Herro,Jack Harlow,Unknown,"2,355",29.4,555631717,127984,22280549,66.0,1
"i hate u, i love u (feat. olivia o'brien)","i hate u, i love u (feat. olivia o'brien)",gnash,Unknown,"2,354",29.4,1405772026,122979,53743248,70.0,1
Ophelia,Ophelia,The Lumineers,2016-05-02 00:00:00,"2,350",29.4,1274848626,213943,47156566,70.0,0
Manos Rotas,Manos Rotas,DELLAFUENTE,Unknown,"2,356",29.4,106759874,18359,8998620,71.0,0
Ella No Es Tuya - Remix,Ella No Es Tuya (Remix),Rochy RD,2021-03-02 00:00:00,"2,353",29.4,364856266,76669,15412661,62.0,0
Satellite,Harry's House,Harry Styles,Unknown,"2,373",29.3,455718141,51605,21294785,70.0,0
La Santa,YHLQMDLG,Bad Bunny,Unknown,"2,361",29.3,915557792,96498,35375775,75.0,1
Tera Ban Jaunga,Kabir Singh,Akhil Sachdeva,Unknown,"2,372",29.3,211095929,15632,8831229,63.0,0
Mon  y so,Up 2 M ,Yeat,2021-10-09 00:00:00,"2,368",29.3,378668802,110916,13349294,71.0,1
Ranjha Maahi,Ranjha Maahi - Single,Siddhant,2023-12-01 00:00:00,"2,375",29.3,40654,75,45363,7.0,0
Hotline Bling,Trevor Nelson Club Classics,Drake,2016-04-11 00:00:00,"2,367",29.3,0,35,3015,6.0,0
Sure Thing,All I Want Is You,Miguel,Unknown,"2,362",29.3,1335928309,190857,100835580,81.0,0
Talibans,No Love,Byron Messia,Unknown,"2,371",29.3,54683202,28810,5603761,61.0,1
Love Story (Taylor   s Ve,Love Story (Taylor   s Ve,Taylor Swift,2021-12-02 00:00:00,"2,363",29.3,763292840,71179,60479422,74.0,0
Skin de Bandida,Skin de Bandida - Single,Oscar Maydon,Unknown,"2,364",29.3,176958728,14482,10063839,0.0,1
Escapism. - Sped Up,Escapism. (Sped Up),RAYE,Unknown,"2,376",29.3,270327239,47167,13191481,66.0,1
Lisa,Lisa,Young Miko,2023-03-03 00:00:00,"2,365",29.3,209988103,30013,8335647,67.0,1
I Can Feel It,I Can Feel It - Single,Kane Brown,Unknown,"2,369",29.3,36059521,4589,5737335,0.0,0
                  ,                   - Single,                     ,2024-02-05 00:00:00,"2,374",29.3,0,0,0,0.0,0
you should see me in a crown,you should see me in a crown,Billie Eilish,Unknown,"2,370",29.3,860596912,103375,35817894,71.0,0
Te Robar ,Te Robar ,Nicky Jam,Unknown,"2,366",29.3,547483874,59096,18863568,61.0,0
Rewrite The Stars (with James Arthur & Anne-Marie),Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,Unknown,"2,377",29.2,853574945,46385,17500223,73.0,0
FBI,FBI,Picus,Unknown,"2,386",29.2,6591040,295,852893,0.0,0
Come and Say - Original Mix,Relyt Conections 3,"""XY""",Unknown,"2,379",29.2,0,1,9,0.0,0
Somebody (2024),Somebody (2024),Gotye,2024-09-02 00:00:00,"2,378",29.2,51862502,14144,76264974,74.0,0
Dandelions,Dandelions,Ruth B.,Unknown,"2,383",29.2,1561518107,183674,67708124,82.0,0
Malvada,Malvada,Z   Fe,Unknown,"2,382",29.2,166427224,17110,7754576,53.0,0
I Love You So,I Love You So,The Walters,Unknown,"2,394",29.2,1410353130,218492,59487193,83.0,0
i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,Unknown,"2,390",29.2,930343185,116055,42732119,75.0,0
Not Fair,Not Fair,Niklas Dee,2023-02-06 00:00:00,"2,392",29.2,164667038,46918,61515543,69.0,0
Benjamins Deli,Benjamins Deli - Single,JRitt,Unknown,"2,389",29.2,996881,446,255703,0.0,0
Him & I (with Halsey),Him & I,G-Eazy,Unknown,"2,384",29.2,949651805,141296,23238086,72.0,1
STAY (with Justin Bieber),Stay,The Kid LAROI,2021-09-07 00:00:00,"2,385",29.2,3107100349,11726,2225897,53.0,0
TIKTOK,TIKTOK,Ian Lucas,Unknown,"2,381",29.2,2164864,113,1773907,59.0,0
Call Your Friends,Call Your Friends - Single,Rod Wave,Unknown,"2,395",29.2,47296342,10429,2724041,46.0,1
Rosa Pastel,Rosa Pastel,Peso Pluma,Unknown,"2,391",29.2,192231633,22780,5337724,65.0,1
Dirt Cheap,Leather,Cody Johnson,2023-03-11 00:00:00,"2,387",29.2,44047842,8961,11610924,11.0,0
Borderline,The Slow Rush,Tame Impala,Unknown,"2,380",29.2,671310199,156377,27309112,76.0,0
T ,Encerrados Pero Enfiestados (Live Vol. 1),Carin Leon,Unknown,"2,393",29.2,327311508,31216,7536781,68.0,0
No Time To Die,No Time To Die,Billie Eilish,Unknown,"2,388",29.2,610838644,91391,29634724,70.0,0
All Eyes on Me,All Eyes on Me - Single,Dj Belite,Unknown,"2,401",29.1,155367,512,52259,0.0,1
En El Radio Un Cochinero,En El Radio Un Cochinero,Victor Cibrian,Unknown,"2,399",29.1,215837483,26581,6387381,61.0,0
Safari,Energ ,J Balvin,2016-03-06 00:00:00,"2,402",29.1,559708419,61743,16037041,65.0,0
comethru,comethru,Jeremy Zucker,2018-07-09 00:00:00,"2,405",29.1,822935346,90889,19172749,69.0,0
                                          ,                                           - Single,                               ,2024-05-04 00:00:00,"2,403",29.1,2409532,128,136647,52.0,0
ROCKSTAR,$AD BOYZ 4 LIFE II,Junior H,2023-05-10 00:00:00,"2,404",29.1,266127900,13021,14018925,79.0,1
Boy's a liar,Boy's a liar,PinkPantheress,Unknown,"2,400",29.1,203628716,39800,6108454,62.0,0
O Patinho Colorido,"Bento e Tot  , Vo",Bento e Tot ,Unknown,"2,396",29.1,11029541,2068,188999,52.0,0
La Mejor Version de Mi,La Mejor Versi  n d,NATTI NATASHA,2019-12-02 00:00:00,"2,398",29.1,109221089,33020,14584019,66.0,0
B.O.T.A. (Baddest Of Them All),B.O.T.A. (Baddest Of Them All) / Move To The,Eliza Rose,Unknown,"2,397",29.1,47723324,34495,3089794,52.0,0
Love Terremoto - Ao Vivo,"Resenha Preferida, Vol. 2 (Ao Vivo)",Os Bar  es Da Pisad,2022-03-08 00:00:00,"2,413",29.0,17075528,1868,3645660,40.0,0
Lucky Girl Syndrome,SUPER REAL ME,ILLIT,Unknown,"2,408",29.0,29089538,1933,2045965,72.0,0
...Baby One More Time (from Kung Fu Panda 4),Kung Fu Panda 4 (Original Motion Picture Soundtrack),Tenacious D,2024-08-03 00:00:00,"2,406",29.0,28423160,5020,3964955,0.0,0
Little Dark Age,Little Dark Age,MGMT,Unknown,"2,415",29.0,641453269,197169,31052903,72.0,0
Una Lady Como T ,Una Lady Como T ,Manuel Turizo,2016-01-12 00:00:00,"2,409",29.0,2935372,41,3790,0.0,0
Whatever She Wants,Whatever She Wants,Bryson Tiller,2024-12-02 00:00:00,"2,418",29.0,207093873,529,187667,0.0,0
Hypnotized,Hypnotized,Purple Disco Machine,2020-08-04 00:00:00,"2,419",29.0,354683755,77323,15730444,58.0,0
Diable,Bocaterrosa,Ven'nus,Unknown,"2,423",29.0,53058,117,4155,10.0,0
Laung Laachi Title Track,"Laung Laachi Title Track (From ""Laung Laachi"")",Mannat Noor,Unknown,"2,422",29.0,30173434,6294,1007695,45.0,0
Chunni Me Perfume Lagawe,Chunni Me Perfume Lagawe - Single,Gajendra Gurjar,Unknown,"2,412",29.0,0,0,0,0.0,0
Koka,Koka,Mankirt Aulakh,2023-06-11 00:00:00,"2,417",29.0,28816253,1287,3341218,0.0,0
ELEVEN,ELEVEN,IVE,2021-01-12 00:00:00,"2,407",29.0,306760464,23542,9642342,66.0,0
Hasta el Amanecer,Hasta el Amanecer,Nicky Jam,Unknown,"2,411",29.0,560103803,935,382240,0.0,0
Space Cadet (feat. Gunna),NOT ALL HEROES WEAR CAPES,Metro Boomin,2018-02-11 00:00:00,"2,416",29.0,917916061,204396,35887216,75.0,1
Poker Face ( Remix ),Poker Face ( Remix ),Bora Media,Unknown,"2,410",29.0,1271094976,1,5,0.0,0
November Rain (2022 Version),November Rain / Double Talkin' Jive / You Could Be Mine,Guns N' Roses,2022-04-11 00:00:00,"2,420",29.0,14394612,2572,13575009,53.0,0
                         ,The End,Lusia Chebotina,Unknown,"2,421",29.0,32318892,13584,1196310,51.0,0
We Ride,We Ride - Single,Bryan Martin,Unknown,"2,414",29.0,200017368,30976,8143503,76.0,1
Rich Spirit,Mr. Morale & The Big Steppers,Kendrick Lamar,Unknown,"2,437",28.9,254191262,68188,10639841,71.0,1
Cochinae,Querian Perreo?,Julianno Sosa,Unknown,"2,438",28.9,155050178,35527,6146030,58.0,1
Juju On That Beat (TZ Anthem),Juju On That Beat (TZ Anthem),Zay Hilfigerrr,Unknown,"2,427",28.9,243305603,30216,6007155,52.0,0
I'm Not The Only One,In The Lonely Hour (Deluxe),Sam Smith,2014-01-01 00:00:00,"2,428",28.9,1879966374,164059,76679523,77.0,0
Murder,Murder,Bgnzinho,Unknown,"2,431",28.9,2613573,1475,166424,37.0,1
Major Distribution,Her Loss,Drake,2022-04-11 00:00:00,"2,430",28.9,199662854,70800,15434966,62.0,1
Psikopat,Psikopat,Butrint Imeri,Unknown,"2,426",28.9,2112678,387,318456,0.0,0
Pi  man De ,Pi  man De  ilim ,Semicenk,2023-02-06 00:00:00,"2,434",28.9,134291091,16247,2133867,65.0,0
Dynamite,Rokstarr (Special Edition),Taio Cruz,2010-01-01 00:00:00,"2,439",28.9,1070923216,204514,89320567,69.0,0
Chlorine,Trench,Twenty One Pilots,2018-05-10 00:00:00,"2,425",28.9,517990518,91490,9737600,68.0,0
GIVENCHY,Temporada de Reggaet  ,Duki,Unknown,"2,436",28.9,240519561,48629,9332907,62.0,1
Here,Here,Alessia Cara,Unknown,"2,441",28.9,616445374,76646,16115782,65.0,0
COME UN TUONO (feat. Gu ,RADIO SAKURA,Rose Villain,2024-07-03 00:00:00,"2,433",28.9,53590796,2987,6810196,75.0,1
Favorito,Favorito,Camilo,Unknown,"2,435",28.9,488713982,42311,12661251,58.0,0
Royalty,Royalty,Egzod,Unknown,"2,432",28.9,317252487,52261,12634570,74.0,0
Am I Wrong,More Music 2013,Nico & Vinz,2013-01-01 00:00:00,"2,440",28.9,965827790,160031,38549276,71.0,0
Tennessee Orange,Tennessee Orange,Megan Moroney,2022-02-09 00:00:00,"2,424",28.9,227893586,28139,12480714,73.0,0
Still Trappin' (with King Von),The Voice,Lil Durk,Unknown,"2,448",28.8,176140377,76081,7784086,61.0,1
De Fresa y Coco,De Fresa y Coco,Luis R Conriquez,2023-10-11 00:00:00,"2,445",28.8,81186913,7818,5727811,0.0,0
He Dead (Oil Thief Remix),REMXNG 2.1,clipping.,Unknown,"2,456",28.8,14148,31,543,0.0,0
YUM YUM (Slowed),YUM YUM,LXNGVX,Unknown,"2,450",28.8,52295701,10792,6471028,64.0,1
Issues,Issues,Julia Michaels,Unknown,"2,446",28.8,1214862854,86990,25275888,69.0,0
Element,Meet The Woo 2,Pop Smoke,2020-07-02 00:00:00,"2,457",28.8,523416171,164690,25242475,68.0,1
n.h.i.e.,n.h.i.e.,21 Savage,2024-10-01 00:00:00,"2,459",28.8,102829758,16786,13717188,0.0,1
GOD'S COUNTRY,UTOPIA,Travis Scott,Unknown,"2,455",28.8,96802469,34681,3243869,64.0,1
Parado no Bail ,Parado no Bail ,MC L da Vinte,Unknown,"2,442",28.8,387513964,87059,13523070,68.0,0
El Paso del Gigante,Los Reyes de los Sonidos,Grupo So  ,Unknown,"2,444",28.8,25684,1,1,0.0,0
F Boy,F Boy,Ander Huang,Unknown,"2,451",28.8,1415206,973,166740,19.0,1
"Yo x Ti, Tu x Mi","Yo x Ti, Tu x Mi",ROSAL ,Unknown,"2,452",28.8,572697124,76099,26265380,65.0,0
Say It,Say It,Tory Lanez,Unknown,"2,447",28.8,510138748,83010,18881944,70.0,1
Ain't Shit,Planet Her,Doja Cat,Unknown,"2,454",28.8,599547543,90475,27073255,70.0,1
Dancing With Your Ghost,Dancing With Your Ghost,Sasha Alex Sloan,Unknown,"2,458",28.8,573785235,104197,40491454,71.0,0
SIRENS,UTOPIA,Travis Scott,Unknown,"2,449",28.8,102510409,39218,4027424,65.0,1
Conex  es de M  fia (feat. Rich ,Conex  es de M  fia (feat. Rich The Kid) ,Matu ,Unknown,"2,453",28.8,159579530,29495,10067664,67.0,1
2 Hielos,2 Hielos,King Savagge,2023-02-02 00:00:00,"2,443",28.8,76078240,16848,2644680,0.0,1
BAD BOY,BAD BOY,Chris Jedi,2024-07-02 00:00:00,"2,474",28.7,42027577,7316,25238956,0.0,1
I Love Mama Mantu,I Love Mama Mantu,Bulan Sutena,2021-01-11 00:00:00,"2,468",28.7,8887656,1905,405342,37.0,0
Hall of Fame (feat. will.i.am),NRJ Hits 17,The Script,2012-01-01 00:00:00,"2,465",28.7,1438795892,180669,67730386,78.0,0
Original som fan,HIPHOPP Vol. 1,OP,Unknown,"2,466",28.7,37291,93,4955,3.0,0
SLAY!,SLAY!,Eternxlkz,Unknown,"2,471",28.7,81775807,5560,36721527,80.0,1
Zaroori Tha,Sahir Ali Bagga Special,Rahat Fateh Ali Khan,Unknown,"2,463",28.7,0,1,11,0.0,0
Deixa,Deixa,Maria Mar  ,Unknown,"2,467",28.7,64736609,4611,7326714,67.0,0
We Didn   t Start Th,We Didn   t Start Th,Fall Out Boy,Unknown,"2,464",28.7,52240739,18224,4939707,59.0,0
                                 - Sayonara,                              !- Sayonara - Single,Kenshi Yonezu,2024-08-04 00:00:00,"2,473",28.7,22739117,1119,5275757,71.0,0
Proud Mary - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,Unknown,"2,460",28.7,20455,3,165,0.0,0
Runaway (U & I),Runaway (U & I),Galantis,2014-05-10 00:00:00,"2,469",28.7,895051532,155100,42988196,72.0,0
Ley Seca,Ley Seca,Jhay Cortez,2021-02-09 00:00:00,"2,462",28.7,412597562,80841,20936024,66.0,0
Dawns (feat. Maggie Rogers),Dawns (feat. Maggie Rogers) - Single,Zach Bryan,Unknown,"2,461",28.7,261468916,44088,11298879,75.0,1
Mesafe,Mesafe,Semicenk,2023-01-09 00:00:00,"2,470",28.7,59964248,9504,1321095,0.0,0
Numb,Meteora,Linkin Park,Unknown,"2,472",28.7,1720830668,270810,75602131,80.0,0
So High School,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,Unknown,"2,478",28.6,97601615,3397,13075013,87.0,0
Hola,Climaxxx,Dalex,2019-10-05 00:00:00,"2,483",28.6,28185177,6572,781594,42.0,0
Dark Red,Dark Red,Steve Lacy,Unknown,"2,475",28.6,1315024190,261850,48425069,80.0,0
Diosa,Easy Money Baby,Myke Towers,Unknown,"2,484",28.6,465811322,70596,17915387,66.0,1
Sand Monkey,Sand Monkey,Kid Pharaoh,2022-01-09 00:00:00,"2,479",28.6,0,14,690,0.0,1
Wagon Wheel,True Believers,Darius Rucker,2013-01-01 00:00:00,"2,477",28.6,727417273,107826,25463894,73.0,0
Dil Galti Kar Baitha Hai,Dil Galti Kar Baitha Hai,Jubin Nautiyal,Unknown,"2,482",28.6,64013323,5573,1466888,53.0,0
Is There Someone Else?,The Highlights (Deluxe),The Weeknd,2021-05-02 00:00:00,"2,485",28.6,669099980,87216,26997782,76.0,0
Dream Girl,Deeper 2.0,Ir Sais,Unknown,"2,481",28.6,133061000,41010,3635651,54.0,0
Wild Side (feat. Cardi B),Wild Side (feat. Cardi B) - Single,Normani,Unknown,"2,476",28.6,181529121,36504,12624326,60.0,1
Bi' Tek Ben Anlar ,Bi' Tek Ben Anlar ,K  ,Unknown,"2,480",28.6,214391030,27588,8269792,58.0,0
Location (feat. Burna Boy),PSYCHODRAMA,Dave,2019-08-03 00:00:00,"2,490",28.5,540907681,169023,15332361,70.0,1
Mon Amour,Mon Amour,Annalisa,Unknown,"2,488",28.5,86387703,9584,2241484,56.0,0
"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")","Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,Unknown,"2,495",28.5,97050082,6294,9201752,68.0,0
Cake By The Ocean - Cover,SEXY BEACH SONGS,MUSIC LAB JPN,Unknown,"2,540",28.5,1614203949,0,0,0.0,1
Pray For Me,Pray For Me (with Kendrick Lamar),The Weeknd,2018-02-02 00:00:00,"2,491",28.5,918478800,139420,28588643,71.0,1
p r i d e . i s . t h e . d e v i l (with Lil Baby),The Off-Season,J. Cole,Unknown,"2,487",28.5,367165473,125205,14849325,65.0,1
Position,Prime,Franglish,Unknown,"2,492",28.5,44456165,3922,6621845,73.0,0
Motley Crew,Motley Crew,Post Malone,2021-09-07 00:00:00,"2,486",28.5,399297877,98593,24244488,66.0,1
Poppin,2 Aliv ,Yeat,Unknown,"2,493",28.5,152999496,61870,4946068,63.0,1
Memories,Memories,Conan Gray,Unknown,"2,494",28.5,445742307,68570,23007042,72.0,0
Casi Completa,PRESENTE,Juli  n   lvarez y su Norte ,Unknown,"2,489",28.5,64656678,2743,8231330,0.0,0
JOLENE,COWBOY CARTER,Beyonc ,Unknown,"2,500",28.4,57163264,3903,8284613,0.0,0
Ro  a Em,Ro  a Em,Z   Fe,Unknown,"2,502",28.4,192684719,15067,10379433,63.0,0
"Sugarcane (Remix) [feat. King Promise, Mayorkun & Darkoo]","Sugarcane (Remix) [feat. King Promise, Mayorkun & Darkoo]",Camidoh,2022-08-04 00:00:00,"2,498",28.4,52418564,24196,1963638,57.0,1
Kya Hua,Blackout (Original Motion Picture Soundtrack),Vishal Mishra,Unknown,"2,497",28.4,96766,20,1453389,0.0,0
TOES (feat. Lil Baby & Moneybagg Yo),KIRK,DaBaby,Unknown,"2,499",28.4,349688559,77636,12565087,60.0,1
Ch-Ch-Ch Chick (feat. Chick McGee),A Couple of Nuts,Bob and Tom,Unknown,"2,501",28.4,3115,7,5,0.0,0
10 Things I Hate About You,10 Things I Hate About You,Leah Kate,Unknown,"2,496",28.4,238502829,38595,7419495,4.0,1
Adios Amor,Adios Amor,Christian Nodal,Unknown,"2,517",28.3,597899105,23,3072,0.0,0
X   LTIMA,LEGENDADDY,Daddy Yankee,Unknown,"2,503",28.3,409394001,53657,22643350,64.0,1
Lalala - Ilkan Gunuc Remix,Lalala (Ilkan Gunuc Remix),Y2K,Unknown,"2,515",28.3,28240865,9377,3738275,49.0,1
Poco A Poco,Poco A Poco - Single,Xavi,Unknown,"2,514",28.3,283079113,15570,15950378,82.0,0
The Alchemy,THE TORTURED POETS DEPARTMENT,Taylor Swift,Unknown,"2,513",28.3,106201248,2992,15108991,0.0,0
Sunday Service,Sunday Service,Latto,2024-09-02 00:00:00,"2,505",28.3,12270831,1736,2704404,0.0,1
Red Ruby Da Sleeze,Red Ruby Da Sleeze,Nicki Minaj,2023-03-03 00:00:00,"2,504",28.3,148574146,25770,27326995,59.0,1
Mama,Mama,Jonas Blue,2017-05-05 00:00:00,"2,509",28.3,955563174,89780,18075056,67.0,0
Puta Mexicana,Som das Regi  ,DJ Jeeh FDC,2022-06-12 00:00:00,"2,508",28.3,172602494,38926,14426720,63.0,1
Self Care,Self Care,Mac Miller,Unknown,"2,516",28.3,687861392,156992,21060151,70.0,1
Out of Time,The Highlights (Deluxe),The Weeknd,2021-05-02 00:00:00,"2,507",28.3,451878749,78793,18239674,70.0,0
Karma,Midnights (3am Edition),Taylor Swift,Unknown,"2,510",28.3,777305444,2358,643308,47.0,0
About You,Being Funny In a Foreign Language,The 1975,Unknown,"2,506",28.3,350348521,48286,23268627,75.0,0
BED,BED,Joel Corry,Unknown,"2,512",28.3,480737112,91401,37879799,66.0,0
23,23,Chayce Beckham,Unknown,"2,511",28.3,217524988,52661,12543368,69.0,0
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,Taylor Swift,Unknown,"2,525",28.2,250430303,648,818594,0.0,0
Andas En Mi Cabeza,Bachatas Mix,Chino & Nacho,Unknown,"2,522",28.2,0,0,0,0.0,0
Remember,Club House,Becky Hill,Unknown,"2,529",28.2,453644642,78241,59982572,67.0,0
Here's Your Perfect,Here's Your Perfect,Jamie Miller,Unknown,"2,523",28.2,418998816,42598,8678739,69.0,0
Highs & Lows,Highs & Lows,Prinz,2023-02-06 00:00:00,"2,530",28.2,64747926,19758,4733486,63.0,0
Survivor   s R,Survivor   s R,Roddy Ricch,Unknown,"2,535",28.2,4462637,789,28882654,66.0,1
Halloween,Halloween,Blood Dance,2022-06-10 00:00:00,"2,534",28.2,7332,45,1692,2.0,0
Impossible,Impossible - Single,RIIZE,Unknown,"2,533",28.2,16327372,987,16575491,69.0,0
El Rescate,El Rescate - Single,Grupo Marca Registrada,Unknown,"2,528",28.2,391773238,34952,16586286,69.0,1
Wockesha,A Gangsta   ,Moneybagg Yo,Unknown,"2,518",28.2,138100044,64635,5451499,56.0,1
Mirame,Mirame - Single,Blessd,Unknown,"2,532",28.2,24345826,1758,36846830,72.0,1
Pantysito,Pantysito,Alejo,Unknown,"2,526",28.2,332175085,63085,23635638,66.0,1
brutal,SOUR,Olivia Rodrigo,Unknown,"2,524",28.2,639900946,87550,20272841,73.0,1
Recognize (feat. Drake),PARTYNEXTDOOR TWO,PARTYNEXTDOOR,Unknown,"2,531",28.2,275465440,58725,10964599,65.0,1
Daylight,For All The Dogs,Drake,2023-06-10 00:00:00,"2,521",28.2,78417212,26088,13353722,0.0,1
Lovefool,Lovefool,twocolors,2020-08-05 00:00:00,"2,519",28.2,359757970,73161,29218709,62.0,0
Rich Flex,Her Loss,Drake,2022-03-11 00:00:00,"2,520",28.2,811888874,5471,1026240,46.0,0
MEMORIAS,Microdosis,Mora,2022-01-04 00:00:00,"2,527",28.2,359336745,67125,16316500,70.0,0
Mood Malandro,Mood Malandro,C  dig,Unknown,"2,538",28.1,188309858,15111,13192945,71.0,0
JACKIE BROWN,WASTELAND,Brent Faiyaz,2022-08-07 00:00:00,"2,542",28.1,247386146,57298,14371239,70.0,1
TELEFONO NUEVO,nadie sabe lo que va a pasar ma  ,Bad Bunny,Unknown,"2,544",28.1,101706440,22195,4712903,0.0,1
Dan  a Ma,Dan  a Ma,Bolofofos,2019-03-05 00:00:00,"2,536",28.1,10423140,1820,350049,49.0,0
Kalkatiya Raja,Kalkatiya Raja,Pawan Singh,Unknown,"2,545",28.1,8607782,231,175674,0.0,0
Drippy,Drippy,Sidhu Moose Wala,2024-02-02 00:00:00,"2,537",28.1,39891157,2503,5333908,0.0,1
Never Going Home,Summer 2021,Kungs,Unknown,"2,539",28.1,304069347,89224,17836102,63.0,0
Problem ,Problem ,Alvaro Diaz,Unknown,"2,548",28.1,275492185,47297,14033837,68.0,0
Waiting for the End,Papercuts,Linkin Park,2024-12-04 00:00:00,"2,541",28.1,160127218,5,55,0.0,0
Pacto (feat. Luar La L),Pacto (feat. Luar La L),Jay Wheeler,Unknown,"2,547",28.1,58652026,19596,3713869,54.0,1
Nena Maldici  n (feat. Lenny Tav ,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,Unknown,"2,546",28.1,614897887,19568,3797350,0.0,0
Talk talk,BRAT,Charli xcx,2024-07-06 00:00:00,"2,540",28.1,6446985,830,35947142,0.0,0
Daisy,Daisy,Ashnikko,2020-09-07 00:00:00,"2,543",28.1,509353753,87580,20339605,63.0,1
Fast Forward,GAME PLAN,JEON SOMI,2023-07-08 00:00:00,"2,556",28.0,88499180,9715,3943924,59.0,0
Ice Attack,WE DON'T TRUST YOU,Future,Unknown,"2,553",28.0,38912003,9619,2346613,0.0,1
Stolen Dance,Die Ultimative Chartshow - Hits 2013,Milky Chance,2013-01-01 00:00:00,"2,558",28.0,1460945792,331171,51661945,76.0,0
Set Me Free Pt.2,Set Me Free Pt.2,Jimin,Unknown,"2,554",28.0,350802342,12581,16368476,76.0,1
Satu Rasa Cinta,Satu Rasa Cinta,Fira Cantika,Unknown,"2,555",28.0,0,1,3,0.0,0
Azul,Colores,J Balvin,Unknown,"2,557",28.0,489654759,60072,13255516,63.0,0
LOCATION,LOCATION,KAROL G,2021-12-02 00:00:00,"2,551",28.0,236644328,36130,7600107,50.0,1
Terminator,Terminator,King Promise,2023-05-05 00:00:00,"2,559",28.0,34026239,8723,6659055,58.0,0
Orang Yang Salah - Sped Up Version,Orang Yang Salah (Sped Up Version),Luvia band,Unknown,"2,552",28.0,3900009,239,152396,0.0,0
Snowman,Snowman,Sia,2017-09-11 00:00:00,"2,561",28.0,947770190,123852,25500657,69.0,0
